SEN	Senegal	1964	0,922	0.922	3580000
USA	United States	1801	0,267	0.267	6933517
CIV	Cote d'Ivoire	2004	7,335	7.335	17970000
MNG	Mongolia	1963	1,601	1.601	1042000
TUN	Tunisia	1961	1,765	1.765	4238000
PHL	Philippines	1939	0,084	0.084	14269315
LBN	Lebanon	1977	5,386	5.386	2602000
TTO	Trinidad and Tobago	1974	10,042	10.042	996000
AGO	Angola	2013	33,229	33.229	26016000
PHL	Philippines	1934	0,088	0.088	12720553
KOR	South Korea	1966	29,982	29.982	29573000
SWZ	Swaziland	2013	1,524	1.524	1087000
TWN	Taiwan	2012	255,477	255.477	23347000
BRA	Brazil	1915	3,144	3.144	24904038
BRN	Brunei	1974	8,178	8.178	155000
GBR	United Kingdom	2013	477,751	477.751	64984000
JOR	Jordan	1997	14,074	14.074	4849000
ALB	Albania	1958	1,202	1.202	1543000
SOM	Somalia	1996	0,568	0.568	7683000
CHL	Chile	1910	2,81	2.81	3369878
SWE	Sweden	1948	30,807	30.807	6840998
GHA	Ghana	2002	7,231	7.231	20246000
OMN	Oman	1994	15,053	15.053	2148000
USA	United States	1871	103,021	103.021	41864092
KIR	Kiribati	1989	0,022	0.022	71000
PHL	Philippines	1910	0,051	0.051	7771117
ROU	Romania	1894	1,041	1.041	10578936
GTM	Guatemala	1981	3,949	3.949	7466000
BLR	Belarus	1992	89,994	89.994	10154000
NZL	New Zealand	1940	4,76	4.76	1629869
HUN	Hungary	1837	0,07	0.07	4698357
GHA	Ghana	1979	2,649	2.649	10805000
VEN	Venezuela	1986	109,24	109.24	17772000
GNB	Guinea-Bissau	1952	0,011	0.011	553000
ITA	Italy	1968	249,172	249.172	52795000
FRA	France	2004	423,71	423.71	60698000
CAN	Canada	1980	442,817	442.817	24417000
EST	Estonia	1992	24,512	24.512	1521000
RUS	Russia	1977	1969,848	1969.848	135412992
DEU	Germany	1819	3,276	3.276	25304388
CHE	Switzerland	1929	10,267	10.267	4011708
COM	Comoros	1988	0,051	0.051	388000
CRI	Costa Rica	1973	2,043	2.043	1993000
SYR	Syria	1941	0,022	0.022	2985237
AGO	Angola	1986	4,634	4.634	10320000
MLT	Malta	1968	0,638	0.638	322000
IDN	Indonesia	1923	9,589	9.589	49031168
WSM	Samoa	1999	0,136	0.136	174000
FRA	France	1906	136,568	136.568	41025020
ITA	Italy	1930	39,564	39.564	40771060
ETH	Ethiopia	2005	4,955	4.955	76346000
BEL	Belgium	1972	130,638	130.638	9693000
NGA	Nigeria	1996	36,788	36.788	110669000
HUN	Hungary	1941	17,855	17.855	9324717
SYR	Syria	1956	2,004	2.004	4032000
SWE	Sweden	1927	17,628	17.628	6099870
BIH	Bosnia and Herzegovina	1986	19,468	19.468	4436000
TKM	Turkmenistan	1977	36,557	36.557	2664000
USA	United States	2002	5942,421	5942.421	287279008
MUS	Mauritius	1980	0,59	0.59	966000
MAR	Morocco	1928	0,029	0.029	6420139
ZAF	South Africa	1942	48,427	48.427	11462270
BFA	Burkina Faso	2001	0,992	0.992	11945000
BFA	Burkina Faso	1967	0,103	0.103	5343000
CUB	Cuba	1977	29,345	29.345	9646000
GBR	United Kingdom	1780	15,055	15.055	
DNK	Denmark	1994	64,674	64.674	5211000
TZA	Tanzania	1961	0,703	0.703	10347000
CHN	China	1905	2,297	2.297	411867872
JAM	Jamaica	1982	6,214	6.214	2234000
GNQ	Equatorial Guinea	1981	0,07	0.07	264000
LBN	Lebanon	1981	5,844	5.844	2594000
PRK	North Korea	1969	64,079	64.079	14010000
ZWE	Zimbabwe	1989	16,114	16.114	10154000
PAK	Pakistan	1953	8,427	8.427	39109000
VNM	Vietnam	1961	7,978	7.978	33666000
AUS	Australia	2016	413,157	413.157	24263000
BEL	Belgium	1928	88,258	88.258	7969332
ROU	Romania	1914	5,785	5.785	12428136
LCA	Saint Lucia	1989	0,165	0.165	136000
PRT	Portugal	1911	3,144	3.144	5943362
GRC	Greece	1910	0,718	0.718	5305864
MNE	Montenegro	1959	0,473	0.473	478000
NOR	Norway	2017	43,702	43.702	5296000
JOR	Jordan	2010	20,614	20.614	7262000
IDN	Indonesia	2003	316,655	316.655	220308992
LBN	Lebanon	1957	2,066	2.066	1637000
YEM	Yemen	2001	16,017	16.017	17918000
GAB	Gabon	1959	0,022	0.022	497000
TWN	Taiwan	1963	15,109	15.109	12065000
CAN	Canada	2006	570,811	570.811	32537000
BGR	Bulgaria	1913	0,788	0.788	4718716
WSM	Samoa	1995	0,117	0.117	170000
CIV	Cote d'Ivoire	2015	9,405	9.405	23226000
ITA	Italy	1950	41,451	41.451	46599000
ARE	United Arab Emirates	1995	70,013	70.013	2415000
BDI	Burundi	1998	0,249	0.249	6186000
LTU	Lithuania	2017	13,407	13.407	2845000
PRY	Paraguay	2015	6,051	6.051	6689000
NGA	Nigeria	1986	73,192	73.192	85766000
KNA	Saint Kitts and Nevis	1983	0,051	0.051	42000
LCA	Saint Lucia	2016	0,414	0.414	180000
GUY	Guyana	1990	1,14	1.14	743000
ECU	Ecuador	2006	28,525	28.525	14059000
IRN	Iran	1995	271,148	271.148	61443000
POL	Poland	1899	61,918	61.918	24512398
POL	Poland	1936	49,9	49.9	30404228
ATG	Antigua and Barbuda	1975	0,707	0.707	63000
MOZ	Mozambique	1937	0,059	0.059	5488061
GIN	Guinea	1994	1,125	1.125	7081000
ARG	Argentina	1950	29,928	29.928	17038000
GRC	Greece	1944	0,11	0.11	7281271
FJI	Fiji	1968	0,396	0.396	499000
OMN	Oman	1998	16,3	16.3	2252000
TJK	Tajikistan	1992	7,295	7.295	5502000
ALB	Albania	2000	3,019	3.019	3129000
